"국적(지역)별","성별","체류자격별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"아시아주계","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","123","110","100","83","72",
"아시아주계","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","3153","3165","3168","3147","3127",
"아시아주계","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","17380","18328","19058","19951","20679",
"아시아주계","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","278","340","394","476","550",
"아시아주계","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","294","294","304","334","354",
"아시아주계","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","2011","1811","1657","1311","1122",
"아시아주계","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","27484","27318","27241","26748","26500",
"아시아주계","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","96997","97274","95192","94398","97617",
"아시아주계","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","3196","3388","3585","3767","4028",
"아시아주계","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","","","","","","2730","2769","2945","3220","3470",
"티모르민주공화국(동티모르)","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","0",
"티모르민주공화국(동티모르)","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","0",
"티모르민주공화국(동티모르)","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","2",
"티모르민주공화국(동티모르)","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","0",
"티모르민주공화국(동티모르)","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","0",
"티모르민주공화국(동티모르)","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"티모르민주공화국(동티모르)","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","1","","","","","","","","","",
"아랍에미리트연합","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","1","","","","","","","","","",
"아랍에미리트연합","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"아랍에미리트연합","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"홍콩거주난민","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"홍콩거주난민","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","","","",
"홍콩거주난민","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"홍콩거주난민","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","","","",
"홍콩거주난민","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"홍콩거주난민","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","","","",
