"행정구역(시군구)별(1)","행정구역(시군구)별(2)",성별(1),2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"강원특별자치도","소계",남성,252,246,247,263,270,314,337,357,409,441
"강원특별자치도","소계",여성,3532,3438,3372,3339,3370,3486,3526,3474,3436,3548
"경기도","소계",남성,7506,7614,7779,8311,9004,9847,10585,11100,11551,11994
"경기도","소계",여성,33413,33789,34049,34995,36178,38380,39597,40216,40446,41863
"경기도","수원시",남성,-,0,-,-,-,-,-,-,-,-
"경기도","수원시",여성,-,1,-,-,-,-,-,-,-,-
"경기도","부천시 소사구",남성,189,188,-,-,-,-,-,-,-,-
"경기도","부천시 소사구",여성,618,640,-,-,-,-,-,-,-,-
"경기도","부천시 오정구",남성,73,75,-,-,-,-,-,-,-,-
"경기도","부천시 오정구",여성,636,638,-,-,-,-,-,-,-,-
"경기도","부천시 원미구",남성,335,342,-,-,-,-,-,-,-,-
"경기도","부천시 원미구",여성,1167,1153,-,-,-,-,-,-,-,-
"경기도","화성시 동부출장소",남성,51,0,-,-,-,-,-,-,-,-
"경기도","화성시 동부출장소",여성,258,0,-,-,-,-,-,-,-,-
"경기도","가평군",남성,59,60,63,68,73,70,72,76,82,86
"경기도","가평군",여성,329,334,337,348,347,354,355,350,358,375
"경기도","고양시 덕양구",남성,164,160,161,165,181,197,232,242,256,266
"경기도","고양시 덕양구",여성,933,950,951,959,954,985,1003,1037,1070,1152
"경기도","고양시 일산동구",남성,141,147,153,153,156,156,171,179,192,195
"경기도","고양시 일산동구",여성,534,535,569,562,571,578,617,633,668,692
"경기도","고양시 일산서구",남성,109,105,102,119,124,134,137,133,138,145
"경기도","고양시 일산서구",여성,449,482,511,504,492,549,576,587,555,571
"경기도","과천시",남성,26,21,18,16,17,18,19,26,26,25
"경기도","과천시",여성,69,70,58,55,46,50,45,46,56,75
"경기도","광명시",남성,215,200,189,197,214,206,195,186,169,153
"경기도","광명시",여성,721,745,745,765,747,735,647,590,553,527
"경기도","광주시",남성,123,138,151,183,209,233,247,269,279,304
"경기도","광주시",여성,923,970,1016,1055,1133,1185,1261,1272,1252,1264
"경기도","구리시",남성,51,52,57,56,54,59,64,58,65,66
"경기도","구리시",여성,383,376,384,385,383,384,368,373,378,366
"경기도","군포시",남성,232,240,233,244,257,285,278,277,292,284
"경기도","군포시",여성,679,651,655,678,708,761,777,772,781,771
"경기도","김포시",남성,225,244,270,325,368,401,470,480,517,536
"경기도","김포시",여성,888,946,980,1100,1228,1331,1469,1547,1599,1664
"경기도","남양주시",남성,203,195,194,203,215,236,248,262,289,307
"경기도","남양주시",여성,1333,1341,1332,1360,1397,1504,1557,1619,1594,1617
"경기도","동두천시",남성,110,102,101,100,110,112,117,116,121,118
"경기도","동두천시",여성,376,374,360,352,357,368,361,358,353,373
"경기도","부천시",남성,0,0,632,704,807,899,1028,1117,1151,1207
"경기도","부천시",여성,1,1,2410,2520,2588,2735,2736,2809,2703,2713
"경기도","성남시 분당구",남성,211,207,218,209,202,202,223,216,208,213
"경기도","성남시 분당구",여성,437,455,457,477,493,508,481,474,498,510
"경기도","성남시 수정구",남성,203,198,202,210,218,228,230,220,235,223
"경기도","성남시 수정구",여성,785,769,749,726,702,748,736,701,687,716
"경기도","성남시 중원구",남성,98,100,89,91,89,104,110,104,89,101
"경기도","성남시 중원구",여성,691,683,644,591,592,589,603,567,549,566
"경기도","수원시 권선구",남성,230,249,257,276,307,332,331,349,338,349
"경기도","수원시 권선구",여성,900,939,980,1014,1111,1142,1142,1136,1140,1176
"경기도","수원시 영통구",남성,99,112,112,115,123,127,140,146,166,163
"경기도","수원시 영통구",여성,437,453,449,484,481,553,567,567,562,610
"경기도","수원시 장안구",남성,123,124,122,123,141,154,151,168,168,165
"경기도","수원시 장안구",여성,633,614,589,584,565,580,594,612,597,605
"경기도","수원시 팔달구",남성,344,330,308,321,309,322,341,362,359,379
"경기도","수원시 팔달구",여성,876,835,807,813,761,780,777,802,842,889
"경기도","시흥시",남성,459,500,506,565,668,766,840,906,969,1008
"경기도","시흥시",여성,2146,2185,2253,2395,2590,2770,2945,2952,3006,3112
"경기도","안산시 단원구",남성,815,808,788,803,807,854,882,896,893,909
"경기도","안산시 단원구",여성,2637,2548,2414,2358,2332,2388,2387,2366,2327,2321
"경기도","안산시 상록구",남성,272,276,282,283,312,315,352,351,369,361
"경기도","안산시 상록구",여성,1296,1329,1293,1265,1300,1313,1348,1395,1418,1391
"경기도","안성시",남성,82,83,87,87,105,122,143,154,163,184
"경기도","안성시",여성,634,628,665,699,709,782,803,787,812,825
"경기도","안양시 동안구",남성,120,117,112,101,93,103,98,104,110,117
"경기도","안양시 동안구",여성,479,484,458,429,401,400,370,362,398,404
"경기도","안양시 만안구",남성,135,129,129,141,140,139,147,168,179,173
"경기도","안양시 만안구",여성,536,523,521,527,531,546,542,531,515,511
"경기도","양주시",남성,103,108,104,116,136,145,148,160,173,208
"경기도","양주시",여성,642,677,657,700,703,746,779,783,771,900
"경기도","양평군",남성,23,21,29,30,28,34,48,60,57,60
"경기도","양평군",여성,281,283,286,284,285,289,288,281,284,288
"경기도","여주군",남성,0,0,-,-,-,-,-,-,-,-
"경기도","여주군",여성,0,0,-,-,-,-,-,-,-,-
"경기도","여주시",남성,15,16,17,19,28,30,39,47,54,59
"경기도","여주시",여성,306,316,327,336,329,350,375,354,339,338
"경기도","연천군",남성,7,14,14,14,13,12,11,15,15,18
"경기도","연천군",여성,133,136,125,112,111,121,117,103,104,112
"경기도","오산시",남성,198,196,202,249,281,316,317,326,347,371
"경기도","오산시",여성,720,755,812,868,940,1065,1121,1103,1089,1154
"경기도","용인시 기흥구",남성,175,169,174,189,200,208,223,221,226,240
"경기도","용인시 기흥구",여성,563,594,613,621,663,733,746,717,707,705
"경기도","용인시 수지구",남성,93,93,99,113,114,119,113,119,119,129
"경기도","용인시 수지구",여성,320,312,317,329,337,370,381,397,394,404
"경기도","용인시 처인구",남성,116,109,113,130,154,170,190,196,207,211
"경기도","용인시 처인구",여성,626,630,642,673,728,787,807,858,874,897
"경기도","의왕시",남성,63,60,61,52,50,62,66,66,66,72
"경기도","의왕시",여성,277,271,250,238,238,254,266,266,244,261
"경기도","의정부시",남성,179,166,168,163,160,184,207,203,216,220
"경기도","의정부시",여성,938,885,889,910,922,956,994,1033,1027,1086
"경기도","이천시",남성,55,52,56,67,78,86,89,99,108,106
"경기도","이천시",여성,622,612,641,632,632,673,715,744,745,769
"경기도","파주시",남성,204,213,214,220,242,264,283,314,333,364
"경기도","파주시",여성,1102,1133,1131,1151,1230,1276,1355,1405,1467,1557
"경기도","평택시",남성,382,405,431,468,506,589,626,691,718,741
"경기도","평택시",여성,1583,1642,1686,1826,1922,2171,2376,2557,2633,2831
"경기도","포천시",남성,117,110,107,108,116,121,121,132,141,152
"경기도","포천시",여성,703,684,677,696,688,715,725,724,729,768
"경기도","하남시",남성,42,44,59,63,71,89,103,120,124,133
"경기도","하남시",여성,313,319,340,366,398,447,469,544,566,587
"경기도","화성시",남성,237,336,395,452,528,644,735,766,824,873
"경기도","화성시",여성,1500,1888,2069,2248,2533,2809,3016,3102,3202,3410
